# MSD for model_a_600K from trajectories/model_a_ramp_600K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.139846,0.098860,0.040986,400,4
0.050000,0.475845,0.335956,0.139889,399,4
0.075000,0.914453,0.664069,0.250383,398,4
0.100000,1.396672,1.068735,0.327937,397,4
0.125000,1.886314,1.538337,0.347977,396,4
0.150000,2.376986,2.066096,0.310890,395,4
0.175000,2.889775,2.650381,0.239394,394,4
0.200000,3.458660,3.290561,0.168099,393,4
0.225000,4.117056,3.989266,0.127790,392,4
0.250000,4.888403,4.753837,0.134566,391,4
0.275000,5.771021,5.589069,0.181952,390,4
0.300000,6.747627,6.499997,0.247630,389,4
0.325000,7.786899,7.483458,0.303441,388,4
0.350000,8.868717,8.539276,0.329441,387,4
0.375000,9.989748,9.668754,0.320994,386,4
0.400000,11.160173,10.870416,0.289757,385,4
0.425000,12.397086,12.141486,0.255600,384,4
0.450000,13.716826,13.478741,0.238085,383,4
0.475000,15.131477,14.886084,0.245392,382,4
0.500000,16.637604,16.364709,0.272895,381,4
0.525000,18.219145,17.912341,0.306804,380,4
0.550000,19.861290,19.529255,0.332034,379,4
0.575000,21.555899,21.215718,0.340181,378,4
0.600000,23.299270,22.967952,0.331317,377,4
0.625000,25.096140,24.782406,0.313734,376,4
0.650000,26.956911,26.657279,0.299632,375,4
0.675000,28.894714,28.594659,0.300055,374,4
0.700000,30.915784,30.597535,0.318250,373,4
0.725000,33.013937,32.665461,0.348476,372,4
0.750000,35.177114,34.798254,0.378861,371,4
0.775000,37.391896,36.993908,0.397988,370,4
0.800000,39.655344,39.255008,0.400336,369,4
0.825000,41.972543,41.584193,0.388350,368,4
0.850000,44.351551,43.981319,0.370231,367,4
0.875000,46.807345,46.450828,0.356517,366,4
0.900000,49.346727,48.991816,0.354911,365,4
0.925000,51.970841,51.601296,0.369545,364,4
0.950000,54.674811,54.277606,0.397205,363,4
0.975000,57.447182,57.019271,0.427911,362,4
1.000000,60.273697,59.822558,0.451139,361,4
1.025000,63.147153,62.687347,0.459806,360,4
1.050000,66.071340,65.618041,0.453298,359,4
1.075000,69.053142,68.616227,0.436915,358,4
1.100000,72.104038,71.683311,0.420726,357,4
1.125000,75.231194,74.818426,0.412769,356,4
1.150000,78.438336,78.019809,0.418527,355,4
1.175000,81.718419,81.280136,0.438284,354,4
1.200000,85.062335,84.596658,0.465677,353,4
1.225000,88.459979,87.969438,0.490541,352,4
1.250000,91.904638,91.400254,0.504384,351,4
1.275000,95.394581,94.890135,0.504446,350,4
1.300000,98.934344,98.439360,0.494984,349,4
1.325000,102.539166,102.054856,0.484310,348,4
1.350000,106.220558,105.740404,0.480154,347,4
1.375000,109.986096,109.498920,0.487176,346,4
1.400000,113.835836,113.331341,0.504495,345,4
1.425000,117.763310,117.236821,0.526490,344,4
1.450000,121.756662,121.211679,0.544983,343,4
1.475000,125.804818,125.251759,0.553059,342,4
1.500000,129.907957,129.358905,0.549052,341,4
1.525000,134.069282,133.531876,0.537406,340,4
1.550000,138.292205,137.766596,0.525609,339,4
1.575000,142.584825,142.063982,0.520843,338,4
1.600000,146.954784,146.427890,0.526894,337,4
1.625000,151.404056,150.861697,0.542359,336,4
1.650000,155.927854,155.366212,0.561642,335,4
1.675000,160.517609,159.941072,0.576537,334,4
1.700000,165.165324,164.584831,0.580493,333,4
1.725000,169.868016,169.295300,0.572716,332,4
1.750000,174.625956,174.067414,0.558542,331,4
1.775000,179.442402,178.896208,0.546193,330,4
1.800000,184.326556,183.784905,0.541650,329,4
1.825000,189.284823,188.738500,0.546323,328,4
1.850000,194.314760,193.756709,0.558051,327,4
1.875000,199.412017,198.840778,0.571239,326,4
1.900000,204.573835,203.994129,0.579706,325,4
1.925000,209.792971,209.212092,0.580879,324,4
1.950000,215.070728,214.495418,0.575310,323,4
1.975000,220.411101,219.843832,0.567269,322,4
2.000000,225.817425,225.254824,0.562602,321,4
2.025000,231.289971,230.725756,0.564215,320,4
2.050000,236.828713,236.258019,0.570694,319,4
2.075000,242.435013,241.856134,0.578879,318,4
2.100000,248.106177,247.521715,0.584462,317,4
2.125000,253.836549,253.252951,0.583598,316,4
2.150000,259.624237,259.048705,0.575532,315,4
2.175000,265.472181,264.908052,0.564129,314,4
2.200000,271.382515,270.826276,0.556239,313,4
2.225000,277.366161,276.810170,0.555990,312,4
2.250000,283.428456,282.864192,0.564264,311,4
2.275000,289.571260,288.992360,0.578901,310,4
2.300000,295.786579,295.191731,0.594848,309,4
2.325000,302.060875,301.455357,0.605517,308,4
2.350000,308.385681,307.779255,0.606426,307,4
2.375000,314.757093,314.159891,0.597203,306,4
2.400000,321.175579,320.593733,0.581845,305,4
2.425000,327.650791,327.083918,0.566873,304,4
2.450000,334.196004,333.637712,0.558292,303,4
2.475000,340.814857,340.254224,0.560633,302,4
2.500000,347.507330,346.934101,0.573229,301,4
2.525000,354.270396,353.679857,0.590539,300,4
2.550000,361.094605,360.489325,0.605280,299,4
2.575000,367.967536,367.355602,0.611935,298,4
2.600000,374.886671,374.278082,0.608589,297,4
2.625000,381.853890,381.256588,0.597302,296,4
2.650000,388.873432,388.290264,0.583169,295,4
2.675000,395.946070,395.373819,0.572251,294,4
2.700000,403.078717,402.509142,0.569574,293,4
2.725000,410.275522,409.699296,0.576226,292,4
2.750000,417.543624,416.954663,0.588961,291,4
2.775000,424.879303,424.276790,0.602513,290,4
2.800000,432.272254,431.661067,0.611186,289,4
2.825000,439.716169,439.104915,0.611254,288,4
2.850000,447.211728,446.608138,0.603590,287,4
2.875000,454.770406,454.177122,0.593284,286,4
2.900000,462.398939,461.811603,0.587336,285,4
2.925000,470.100287,469.509119,0.591169,284,4
2.950000,477.867484,477.264154,0.603330,283,4
2.975000,485.690645,485.073447,0.617198,282,4
