# MSD for model_b_900K from trajectories/model_b_ramp_900K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.163282,0.097820,0.065462,400,4
0.050000,0.545493,0.317687,0.227807,399,4
0.075000,1.023311,0.600810,0.422501,398,4
0.100000,1.519293,0.929529,0.589763,397,4
0.125000,1.981900,1.288885,0.693015,396,4
0.150000,2.400925,1.675978,0.724947,395,4
0.175000,2.786633,2.086124,0.700509,394,4
0.200000,3.166795,2.521175,0.645620,393,4
0.225000,3.573714,2.984463,0.589251,392,4
0.250000,4.035187,3.481331,0.553856,391,4
0.275000,4.566262,4.015239,0.551023,390,4
0.300000,5.165753,4.585735,0.580018,389,4
0.325000,5.821368,5.192792,0.628577,388,4
0.350000,6.513485,5.834647,0.678838,387,4
0.375000,7.220893,6.506261,0.714632,386,4
0.400000,7.927581,7.200685,0.726897,385,4
0.425000,8.629636,7.914510,0.715125,384,4
0.450000,9.334285,8.647861,0.686424,383,4
0.475000,10.049923,9.398673,0.651251,382,4
0.500000,10.785022,10.164190,0.620832,381,4
0.525000,11.553022,10.949725,0.603297,380,4
0.550000,12.365448,11.763305,0.602143,379,4
0.575000,13.224183,12.608447,0.615737,378,4
0.600000,14.123325,13.485374,0.637951,377,4
0.625000,15.051577,14.390170,0.661407,376,4
0.650000,15.998890,15.318673,0.680217,375,4
0.675000,16.957921,16.266199,0.691723,374,4
0.700000,17.922788,17.227349,0.695439,373,4
0.725000,18.891925,18.199609,0.692316,372,4
0.750000,19.864421,19.180472,0.683949,371,4
0.775000,20.850041,20.176083,0.673958,370,4
0.800000,21.859095,21.191772,0.667322,369,4
0.825000,22.898577,22.230672,0.667905,368,4
0.850000,23.970613,23.293712,0.676900,367,4
0.875000,25.069583,24.379018,0.690565,366,4
0.900000,26.191410,25.488237,0.703172,365,4
0.925000,27.330936,26.620280,0.710656,364,4
0.950000,28.485648,27.773698,0.711950,363,4
0.975000,29.652976,28.946022,0.706955,362,4
1.000000,30.830880,30.135564,0.695316,361,4
1.025000,32.019058,31.340073,0.678985,360,4
1.050000,33.222235,32.558866,0.663370,359,4
1.075000,34.450862,33.794015,0.656847,358,4
1.100000,35.711267,35.045696,0.665571,357,4
1.125000,37.007288,36.319861,0.687428,356,4
1.150000,38.332275,37.618393,0.713882,355,4
1.175000,39.669364,38.935436,0.733927,354,4
1.200000,41.007471,40.266903,0.740567,353,4
1.225000,42.343848,41.609701,0.734147,352,4
1.250000,43.684096,42.962446,0.721650,351,4
1.275000,45.036255,44.323454,0.712800,350,4
1.300000,46.401849,45.688700,0.713149,349,4
1.325000,47.781684,47.058668,0.723016,348,4
1.350000,49.177617,48.439321,0.738296,347,4
1.375000,50.587789,49.833808,0.753981,346,4
1.400000,52.003062,51.239225,0.763836,345,4
1.425000,53.417794,52.655086,0.762708,344,4
1.450000,54.826721,54.080672,0.746049,343,4
1.475000,56.224458,55.512045,0.712413,342,4
1.500000,57.615432,56.950514,0.664918,341,4
1.525000,59.005143,58.392763,0.612380,340,4
1.550000,60.400207,59.834714,0.565493,339,4
1.575000,61.813272,61.279855,0.533417,338,4
1.600000,63.252067,62.732876,0.519191,337,4
1.625000,64.717664,64.194408,0.523256,336,4
1.650000,66.213206,65.669492,0.543714,335,4
1.675000,67.736313,67.160762,0.575551,334,4
1.700000,69.274738,68.664609,0.610129,333,4
1.725000,70.809192,70.172488,0.636704,332,4
1.750000,72.333413,71.685485,0.647928,331,4
1.775000,73.848741,73.208122,0.640620,330,4
1.800000,75.353676,74.734559,0.619117,329,4
1.825000,76.850726,76.257621,0.593105,328,4
1.850000,78.349488,77.775388,0.574101,327,4
1.875000,79.863331,79.291575,0.571756,326,4
1.900000,81.402500,80.810495,0.592005,325,4
1.925000,82.959555,82.329057,0.630498,324,4
1.950000,84.522989,83.846571,0.676417,323,4
1.975000,86.077836,85.361142,0.716695,322,4
2.000000,87.613261,86.872465,0.740796,321,4
2.025000,89.127879,88.383228,0.744651,320,4
2.050000,90.631094,89.899080,0.732015,319,4
2.075000,92.127955,91.418826,0.709128,318,4
2.100000,93.623786,92.942290,0.681496,317,4
2.125000,95.131636,94.476465,0.655171,316,4
2.150000,96.657145,96.020589,0.636556,315,4
2.175000,98.200172,97.569976,0.630196,314,4
2.200000,99.761878,99.124019,0.637858,313,4
2.225000,101.353165,100.695734,0.657431,312,4
2.250000,102.967972,102.286506,0.681465,311,4
2.275000,104.589976,103.890110,0.699866,310,4
2.300000,106.213282,105.508519,0.704763,309,4
2.325000,107.837959,107.142807,0.695152,308,4
2.350000,109.465135,108.789871,0.675264,307,4
2.375000,111.092853,110.440897,0.651957,306,4
2.400000,112.725274,112.090677,0.634597,305,4
2.425000,114.360405,113.730348,0.630056,304,4
2.450000,116.006446,115.363671,0.642775,303,4
2.475000,117.668916,116.997194,0.671722,302,4
2.500000,119.340640,118.630307,0.710333,301,4
2.525000,121.013361,120.264727,0.748634,300,4
2.550000,122.688100,121.912382,0.775718,299,4
2.575000,124.358703,123.574396,0.784307,298,4
2.600000,126.023220,125.248571,0.774648,297,4
2.625000,127.688700,126.934019,0.754681,296,4
2.650000,129.352602,128.619557,0.733045,295,4
2.675000,131.022852,130.306687,0.716165,294,4
2.700000,132.704445,131.996815,0.707630,293,4
2.725000,134.403810,133.693383,0.710427,292,4
2.750000,136.128681,135.403640,0.725040,291,4
2.775000,137.868654,137.123296,0.745358,290,4
2.800000,139.613082,138.848754,0.764328,289,4
2.825000,141.353937,140.578797,0.775140,288,4
2.850000,143.086731,142.311789,0.774942,287,4
2.875000,144.811200,144.044874,0.766326,286,4
2.900000,146.535129,145.778903,0.756226,285,4
2.925000,148.268864,147.517134,0.751729,284,4
2.950000,150.012238,149.257666,0.754571,283,4
2.975000,151.753822,150.991023,0.762799,282,4
3.000000,153.487445,152.714869,0.772576,281,4
3.025000,155.209715,154.433390,0.776325,280,4
3.050000,156.915359,156.147401,0.767957,279,4
3.075000,158.610304,157.862309,0.747996,278,4
3.100000,160.303150,159.579640,0.723510,277,4
3.125000,162.003240,161.299746,0.703494,276,4
3.150000,163.712028,163.015336,0.696692,275,4
3.175000,165.438751,164.734919,0.703832,274,4
3.200000,167.181734,166.459463,0.722270,273,4
3.225000,168.933901,168.189001,0.744900,272,4
3.250000,170.687125,169.923121,0.764004,271,4
3.275000,172.436530,171.663233,0.773298,270,4
3.300000,174.178390,173.407141,0.771249,269,4
3.325000,175.901878,175.144351,0.757527,268,4
3.350000,177.600209,176.865534,0.734675,267,4
3.375000,179.283880,178.575900,0.707981,266,4
3.400000,180.969038,180.285095,0.683944,265,4
3.425000,182.665239,181.996064,0.669175,264,4
3.450000,184.363407,183.696724,0.666683,263,4
3.475000,186.058961,185.384261,0.674701,262,4
3.500000,187.750507,187.062076,0.688430,261,4
3.525000,189.436493,188.733022,0.703471,260,4
3.550000,191.110550,190.392301,0.718249,259,4
3.575000,192.764047,192.034756,0.729291,258,4
3.600000,194.393631,193.661755,0.731876,257,4
3.625000,195.998692,195.272219,0.726473,256,4
3.650000,197.571588,196.855770,0.715818,255,4
3.675000,199.121445,198.419795,0.701650,254,4
3.700000,200.657441,199.969655,0.687786,253,4
3.725000,202.181295,201.503085,0.678210,252,4
