# MSD for model_a from trajectories/model_a_ramp_1200K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.198201,0.126207,0.071994,400,4
0.050000,0.684495,0.430089,0.254406,399,4
0.075000,1.331882,0.841761,0.490121,398,4
0.100000,2.063098,1.340062,0.723036,397,4
0.125000,2.826541,1.913351,0.913190,396,4
0.150000,3.596821,2.552545,1.044276,395,4
0.175000,4.372820,3.252081,1.120739,394,4
0.200000,5.174134,4.012565,1.161569,393,4
0.225000,6.019029,4.831237,1.187792,392,4
0.250000,6.922271,5.712057,1.210215,391,4
0.275000,7.880092,6.651583,1.228510,390,4
0.300000,8.881168,7.645070,1.236098,389,4
0.325000,9.918408,8.693089,1.225319,388,4
0.350000,10.996953,9.799309,1.197644,387,4
0.375000,12.127254,10.966545,1.160709,386,4
0.400000,13.318717,12.193286,1.125431,385,4
0.425000,14.580180,13.481427,1.098753,384,4
0.450000,15.910917,14.828628,1.082289,383,4
0.475000,17.299879,16.227969,1.071910,382,4
0.500000,18.741318,17.681011,1.060306,381,4
0.525000,20.235343,19.191590,1.043753,380,4
0.550000,21.781054,20.757901,1.023153,379,4
0.575000,23.385130,22.383281,1.001849,378,4
0.600000,25.060720,24.073031,0.987689,377,4
0.625000,26.815741,25.830331,0.985410,376,4
0.650000,28.652868,27.654835,0.998033,375,4
0.675000,30.564912,29.544166,1.020746,374,4
0.700000,32.543869,31.498244,1.045625,373,4
0.725000,34.586864,33.519823,1.067041,372,4
0.750000,36.691776,35.610565,1.081210,371,4
0.775000,38.854263,37.765867,1.088396,370,4
0.800000,41.070839,39.978109,1.092730,369,4
0.825000,43.345391,42.246981,1.098410,368,4
0.850000,45.675516,44.568267,1.107248,367,4
0.875000,48.057086,46.936849,1.120236,366,4
0.900000,50.484703,49.346921,1.137782,365,4
0.925000,52.954675,51.797773,1.156903,364,4
0.950000,55.465407,54.289072,1.176335,363,4
0.975000,58.019805,56.823994,1.195811,362,4
1.000000,60.618253,59.405767,1.212486,361,4
1.025000,63.263042,62.037139,1.225903,360,4
1.050000,65.954095,64.721068,1.233027,359,4
1.075000,68.685423,67.454664,1.230759,358,4
1.100000,71.455473,70.240157,1.215315,357,4
1.125000,74.270953,73.086294,1.184660,356,4
1.150000,77.139809,75.999026,1.140783,355,4
1.175000,80.075382,78.983923,1.091459,354,4
1.200000,83.088703,82.042606,1.046097,353,4
1.225000,86.180148,85.167584,1.012564,352,4
1.250000,89.347423,88.353622,0.993801,351,4
1.275000,92.593987,91.604301,0.989686,350,4
1.300000,95.921008,94.926195,0.994813,349,4
1.325000,99.314932,98.312655,1.002277,348,4
1.350000,102.772964,101.763098,1.009866,347,4
1.375000,106.296289,105.276913,1.019377,346,4
1.400000,109.890801,108.860486,1.030315,345,4
1.425000,113.547999,112.505328,1.042672,344,4
1.450000,117.264095,116.204634,1.059462,343,4
1.475000,121.055193,119.974937,1.080256,342,4
1.500000,124.925925,123.820391,1.105534,341,4
1.525000,128.873932,127.743771,1.130161,340,4
1.550000,132.891401,131.741823,1.149578,339,4
1.575000,136.966541,135.808046,1.158495,338,4
1.600000,141.096765,139.941847,1.154917,337,4
1.625000,145.271256,144.131430,1.139827,336,4
1.650000,149.482586,148.368107,1.114479,335,4
1.675000,153.740926,152.659707,1.081219,334,4
1.700000,158.053688,157.012626,1.041062,333,4
1.725000,162.438780,161.439543,0.999237,332,4
1.750000,166.899436,165.934291,0.965145,331,4
1.775000,171.438219,170.490169,0.948050,330,4
1.800000,176.052956,175.100616,0.952340,329,4
1.825000,180.752806,179.776890,0.975916,328,4
1.850000,185.526085,184.513475,1.012610,327,4
1.875000,190.375637,189.318844,1.056793,326,4
1.900000,195.304488,194.204356,1.100132,325,4
1.925000,200.291545,199.155648,1.135897,324,4
1.950000,205.344139,204.184172,1.159967,323,4
1.975000,210.451630,209.278832,1.172798,322,4
2.000000,215.597751,214.418396,1.179354,321,4
2.025000,220.783463,219.599116,1.184346,320,4
2.050000,226.009679,224.820773,1.188906,319,4
2.075000,231.281760,230.092416,1.189344,318,4
2.100000,236.605215,235.422958,1.182258,317,4
2.125000,241.992267,240.824675,1.167592,316,4
2.150000,247.431248,246.286737,1.144511,315,4
2.175000,252.915086,251.800787,1.114300,314,4
2.200000,258.450183,257.369405,1.080778,313,4
2.225000,264.045156,262.997147,1.048009,312,4
2.250000,269.709889,268.687068,1.022821,311,4
2.275000,275.443819,274.436228,1.007591,310,4
2.300000,281.246799,280.243510,1.003289,309,4
2.325000,287.123735,286.112832,1.010903,308,4
2.350000,293.067241,292.039095,1.028147,307,4
2.375000,299.063933,298.010625,1.053308,306,4
2.400000,305.109489,304.025269,1.084220,305,4
2.425000,311.206155,310.088993,1.117162,304,4
2.450000,317.345704,316.197981,1.147723,303,4
2.475000,323.516245,322.344825,1.171420,302,4
2.500000,329.714213,328.530772,1.183441,301,4
2.525000,335.920861,334.740154,1.180706,300,4
2.550000,342.155839,340.990262,1.165577,299,4
2.575000,348.421215,347.278227,1.142989,298,4
2.600000,354.724456,353.601936,1.122520,297,4
2.625000,361.075236,359.962566,1.112671,296,4
2.650000,367.487597,366.369536,1.118060,295,4
2.675000,373.965490,372.826004,1.139486,294,4
2.700000,380.511681,379.338525,1.173156,293,4
2.725000,387.111636,385.900037,1.211598,292,4
2.750000,393.750358,392.504376,1.245981,291,4
2.775000,400.429439,399.161165,1.268274,290,4
2.800000,407.158596,405.885291,1.273305,289,4
2.825000,413.941571,412.679279,1.262293,288,4
2.850000,420.791386,419.548592,1.242793,287,4
2.875000,427.710999,426.491702,1.219297,286,4
2.900000,434.697515,433.500554,1.196961,285,4
2.925000,441.760003,440.583961,1.176042,284,4
2.950000,448.894805,447.741521,1.153285,283,4
2.975000,456.093920,454.968989,1.124931,282,4
3.000000,463.359907,462.265580,1.094328,281,4
3.025000,470.685782,469.621158,1.064625,280,4
3.050000,478.077441,477.037011,1.040430,279,4
3.075000,485.553763,484.525900,1.027862,278,4
3.100000,493.117047,492.088881,1.028166,277,4
3.125000,500.744783,499.705894,1.038889,276,4
3.150000,508.429529,507.371000,1.058529,275,4
3.175000,516.170733,515.089941,1.080793,274,4
3.200000,523.983302,522.883857,1.099446,273,4
3.225000,531.861087,530.749815,1.111272,272,4
3.250000,539.793938,538.677503,1.116435,271,4
3.275000,547.805395,546.684185,1.121210,270,4
3.300000,555.896009,554.764126,1.131883,269,4
3.325000,564.040714,562.891854,1.148860,268,4
3.350000,572.233111,571.064438,1.168673,267,4
3.375000,580.481486,579.297090,1.184396,266,4
3.400000,588.783493,587.594029,1.189465,265,4
3.425000,597.149893,595.970079,1.179814,264,4
3.450000,605.553936,604.398771,1.155165,263,4
3.475000,614.021901,612.902010,1.119891,262,4
3.500000,622.550061,621.466584,1.083477,261,4
3.525000,631.131073,630.073604,1.057468,260,4
3.550000,639.773635,638.722989,1.050645,259,4
3.575000,648.479632,647.415688,1.063944,258,4
3.600000,657.242429,656.150890,1.091539,257,4
3.625000,666.038810,664.912530,1.126279,256,4
3.650000,674.859892,673.701620,1.158272,255,4
3.675000,683.703482,682.522843,1.180639,254,4
3.700000,692.560953,691.365224,1.195729,253,4
3.725000,701.435453,700.228599,1.206854,252,4
3.750000,710.342560,709.125846,1.216714,251,4
3.775000,719.286490,718.063492,1.222998,250,4
3.800000,728.278734,727.052506,1.226228,249,4
3.825000,737.316796,736.092228,1.224568,248,4
3.850000,746.389098,745.173575,1.215523,247,4
3.875000,755.494053,754.293558,1.200495,246,4
3.900000,764.627425,763.445381,1.182044,245,4
3.925000,773.792286,772.626734,1.165552,244,4
3.950000,783.015576,781.857822,1.157754,243,4
3.975000,792.290289,791.131658,1.158631,242,4
4.000000,801.594623,800.429402,1.165221,241,4
4.025000,810.931358,809.757483,1.173875,240,4
4.050000,820.296074,819.115403,1.180672,239,4
4.075000,829.694488,828.509194,1.185294,238,4
4.100000,839.160649,837.971821,1.188827,237,4
4.125000,848.691654,847.499702,1.191953,236,4
4.150000,858.275250,857.077733,1.197517,235,4
4.175000,867.883576,866.679751,1.203825,234,4
4.200000,877.532761,876.322090,1.210672,233,4
4.225000,887.263759,886.046080,1.217679,232,4
4.250000,897.052858,895.830813,1.222045,231,4
4.275000,906.877824,905.655272,1.222552,230,4
4.300000,916.745216,915.528260,1.216956,229,4
4.325000,926.654663,925.449620,1.205043,228,4
4.350000,936.584051,935.394899,1.189152,227,4
4.375000,946.581847,945.409444,1.172403,226,4
4.400000,956.634160,955.478314,1.155846,225,4
4.425000,966.731279,965.591079,1.140201,224,4
4.450000,976.907345,975.778445,1.128900,223,4
4.475000,987.162403,986.037998,1.124405,222,4
4.500000,997.474819,996.346713,1.128107,221,4
4.525000,1007.849894,1006.709316,1.140578,220,4
4.550000,1018.313186,1017.151966,1.161220,219,4
4.575000,1028.825822,1027.638929,1.186894,218,4
4.600000,1039.381653,1038.168570,1.213083,217,4
4.625000,1049.988672,1048.755011,1.233661,216,4
4.650000,1060.611205,1059.366966,1.244239,215,4
4.675000,1071.243490,1070.003149,1.240340,214,4
4.700000,1081.884193,1080.660214,1.223980,213,4
4.725000,1092.557695,1091.358955,1.198740,212,4
4.750000,1103.287918,1102.118827,1.169091,211,4
4.775000,1114.075002,1112.935002,1.140000,210,4
4.800000,1124.926035,1123.810261,1.115774,209,4
4.825000,1135.804093,1134.704592,1.099502,208,4
4.850000,1146.708509,1145.616631,1.091877,207,4
4.875000,1157.648043,1156.552230,1.095812,206,4
4.900000,1168.633419,1167.520475,1.112943,205,4
4.925000,1179.679191,1178.539356,1.139834,204,4
4.950000,1190.771378,1189.598333,1.173046,203,4
4.975000,1201.885432,1200.674278,1.211154,202,4
5.000000,1213.026845,1211.775594,1.251251,201,4
5.025000,1224.226235,1222.938310,1.287925,200,4
5.050000,1235.475375,1234.160511,1.314865,199,4
5.075000,1246.723450,1245.392327,1.331123,198,4
5.100000,1257.957400,1256.619277,1.338124,197,4
5.125000,1269.206810,1267.870579,1.336231,196,4
5.150000,1280.475228,1279.147004,1.328224,195,4
5.175000,1291.732465,1290.416685,1.315780,194,4
5.200000,1302.949512,1301.650608,1.298904,193,4
5.225000,1314.135100,1312.857844,1.277256,192,4
5.250000,1325.316605,1324.065652,1.250953,191,4
5.275000,1336.512688,1335.289623,1.223065,190,4
5.300000,1347.728910,1346.528986,1.199924,189,4
5.325000,1358.977960,1357.788689,1.189271,188,4
5.350000,1370.289178,1369.097191,1.191987,187,4
5.375000,1381.675481,1380.469427,1.206054,186,4
5.400000,1393.142138,1391.911476,1.230662,185,4
5.425000,1404.678996,1403.417674,1.261322,184,4
5.450000,1416.280485,1414.984982,1.295503,183,4
5.475000,1427.966273,1426.635795,1.330478,182,4
5.500000,1439.713697,1438.350469,1.363229,181,4
5.525000,1451.496857,1450.107790,1.389067,180,4
5.550000,1463.297952,1461.893540,1.404413,179,4
5.575000,1475.119115,1473.709599,1.409516,178,4
5.600000,1486.959249,1485.556714,1.402535,177,4
5.625000,1498.826636,1497.444878,1.381758,176,4
5.650000,1510.736058,1509.384491,1.351567,175,4
5.675000,1522.730487,1521.409146,1.321341,174,4
5.700000,1534.829000,1533.531238,1.297762,173,4
5.725000,1547.005429,1545.716613,1.288817,172,4
5.750000,1559.252397,1557.961196,1.291201,171,4
5.775000,1571.538151,1570.238680,1.299472,170,4
5.800000,1583.857242,1582.546929,1.310313,169,4
5.825000,1596.202730,1594.879740,1.322990,168,4
5.850000,1608.561060,1607.224559,1.336500,167,4
5.875000,1620.935510,1619.585037,1.350473,166,4
5.900000,1633.321307,1631.954034,1.367273,165,4
5.925000,1645.717518,1644.331259,1.386259,164,4
5.950000,1658.144953,1656.733914,1.411039,163,4
5.975000,1670.624880,1669.184291,1.440588,162,4
6.000000,1683.159291,1681.687306,1.471985,161,4
6.025000,1695.752848,1694.248039,1.504809,160,4
6.050000,1708.410037,1706.873214,1.536823,159,4
6.075000,1721.125879,1719.561564,1.564316,158,4
6.100000,1733.918556,1732.335310,1.583246,157,4
